,,,,,,,,,
4. 대기오염,,,,,,,,,
Air Pollutant Emission,,,,,,,,,
단위 : 개별,,,,,,Unit : item specific,,,
연  별,아황산가스,일산화탄소,이산화질소,미세먼지,미세먼지,오존,,,
,(SO₂),(CO),(NO₂),(PM10),(PM2.5),(O3),,,
,Sulfur Dioxide,Carbon Monoxide,Nitrogen Dioxide,Fine dust,Ultra-fine dust,Ozone,,,
월  별,ppm / year,ppm / 8hours,ppm / year,(㎍/㎥) / year,(㎍/㎥) / year,ppm  / 8hours,,,
2015, 0.004 , 0.5 , 0.018 , 48 , 20 , 0.029 ,,,
2016, 0.003 , 0.5 , 0.014 , 47 , 27 , 0.030 ,,,
2017, 0.003 , 0.4 , 0.012 ,44 ,25.0 , 0.034 ,,,
2018, 0.003 , 0.3 , 0.013 ,36 ,19.5 , 0.034 ,,,
2019, 0.002 , 0.3 , 0.012 ,36 ,18.0 , 0.038 ,,,
2020, 0.002 , 0.4 , 0.012 , 31 , 14.0 , 0.036 ,,,
2021, 0.003 , 0.3 , 0.011 , 32 , 11.3 , 0.036 ,,,
2022, 0.002 , 0.3 , 0.010 , 27 , 13.8 , 0.036 ,,,
1 월, 0.004 , 0.4 , 0.016 , 29 , 15.0 , 0.030 ,,,
2 월, 0.003 , 0.4 , 0.012 , 27 , 16.0 , 0.041 ,,,
3 월, 0.003 , 0.3 , 0.011 , 42 , 19.0 , 0.045 ,,,
4 월, 0.002 , 0.2 , 0.009 , 39 , 15.0 , 0.052 ,,,
5 월, 0.002 , 0.2 , 0.009 , 30 , 14.0 , 0.058 ,,,
6 월, 0.002 , 0.2 , 0.008 , 21 , 9.0 , 0.040 ,,,
7 월, 0.002 , 0.2 , 0.007 , 16 , 7.0 , 0.029 ,,,
8 월, 0.002 , 0.2 , 0.009 , 17 , 11.0 , 0.028 ,,,
9 월, 0.002 , 0.3 , 0.008 , 18 , 10.0 , 0.027 ,,,
10 월, 0.002 , 0.3 , 0.012 , 22 , 14.0 , 0.021 ,,,
11 월, 0.002 , 0.4 , 0.011 , 34 , 19.0 , 0.033 ,,,
12 월, 0.003 , 0.5 , 0.010 , 31 , 17.0 , 0.032 ,,,
 자료: 「대기오염도현황」 환경부 대기환경정책과,,,,,,,,,
,,,,,,,,,
